Timestamp,What is the official name of your course?,At what school (or through what organization) is your course being taught?,"If there an official course webpage, please list it here:","If your course materials are publicly available online, please include the URL:",What are the names of the course instructors?,How often is this course taught?,Approximately how many students are in your class?,What level of education is your course?,What is the minimum level of programming experience that your students are expected to be at?,What field(s) is your course most related to?,What are the biggest pain points for you in running your class?,Please indicate which of the following Jupyter/IPython tools your class is utilizing:,"If you are using the notebook, are you using any custom or third-party extensions?","If you are using the notebook, how do students access it? (i.e. where is it installed?)",What language(s) will your students be using?,"If you are using the notebook, what kernel(s) will you be using?",What types of assignments do you use the notebook for?,What types of questions are included in your assignments?,"If you are using notebooks for graded assignments, how are you doing the grading?","When you grade coding answers, what aspects of the students' answers are you evaluating?",Are there any other ways that you structure your assignments or do grading that have not been covered by the previous questions?,What are the biggest pain points for you in grading Jupyter notebook assignments?,Are there any other ways in which you are using Jupyter in your class that were not covered in the previous questions?,Do you have any specific suggestions for how Jupyter tools could be made more accessible for instructors?
4/25/2016 15:04:27,,Many different colleges,vpython.org,,,Every semester / quarter,More than 500,"Introductory undergraduate (freshman and sophmores), Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors), Graduate",Intermediate (a year of experience),Physics,,Jupyter notebook,The vpython module,They have it installed on their own computers,"Python 2, Python 3",IPyKernel,Homeworks / problem sets,Manually graded coding exercises,,,,,"The context is that VPython is used in intro physics courses in many colleges, often in its GlowScript form (glowscript.org), suitable for programming novices. Students may later take a computational physics course and need access to scipy etc. for which Jupyter VPython is more appropriate and which is nearly mature; see vpython.org.",
4/25/2016 15:21:29,Diseño Óptico y Optométrico,Universidad Complutense de Madrid,https://optica.ucm.es/data/cont/docs/13-2013-07-26-OP_Dise%C3%B1o%20%C3%B3ptico%20y%20optom%C3%A9trico%202.pdf,,Eduardo Cabrera-Granado,Every year,25 - 50,Intermediate undergraduate (sophmores and juniors),Complete novice (no experience),Physics,Correction of exercises,"Jupyter notebook, JupyterHub, nbgrader",,JupyterHub,Python 3,IPyKernel,"In-class exercises, Homeworks / problem sets","Autograded coding exercises, Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose)",nbgrader,Correctness,,Be sure that the generated tests cover all the possibilities (nbgrader),,More information on setting up JupyterHub
4/25/2016 15:28:28,Python Introductory Course for Heidelberg University Physics Students,Heidelberg University,http://www.physi.uni-heidelberg.de/Einrichtungen/AP/Python.php,http://mybinder.org/repo/uhd-pap/course-deploy,"Nils Fischer
Jens Wagner",Every semester / quarter,250 - 500,"Introductory undergraduate (freshman and sophmores), Intermediate undergraduate (sophmores and juniors)",Complete novice (no experience),Physics,Deploying the course on university servers with LDAP login and a docker spawner. Using mybinder.org for now.,"Jupyter notebook, nbgrader",,Binder,Python 3,IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets",Autograded coding exercises,nbgrader,Correctness,,"- unable to run it on mybinder.org
- when deployed on university servers the grading must be triggered on submit","- premade notebooks on lab computers to directly visualize data taken by the experiment by just pressing ""play""",- option to hide cells that provide supplementary code or tests
4/25/2016 17:09:17,AP Statistics,Lakewood High School,,,Peter Petto,Every year,25 - 50,High school (ages 14-18),Complete novice (no experience),Statistics,Incorporating code in R as well as code in Python without changing context so dramatically that students get lost.,Jupyter notebook,None at this time.,SageMath Cloud,"Python 2, R, in the future",SageMath,"In-class exercises, Collaborative / group assignments",Ungraded simulation modifications,,,,,To randomize student team assignments.,
4/25/2016 23:41:36,,,,,,Ad-hoc (e.g. workshops),10 - 25,"Graduate, Mixed (conferences, workshops, Software Carpentry style events, etc.)",Complete novice (no experience),"Data science, History, Library science, Literature",Reliable internet access,Jupyter notebook,,Binder,Python 3,IPyKernel,,,,,,,,
4/26/2016 0:46:03,Introduction to Python Programming,European Molecular Biology Laboratory / University of York,github.com/tobyhodges/ITPP/,github.com/tobyhodges/ITPP/,"Toby Hodges
Peter Ashton
Holger Dinkel
Karin Sasaki
",Every semester / quarter,10 - 25,"Mixed (conferences, workshops, Software Carpentry style events, etc.)",Complete novice (no experience),"Computer science, Data science",Python v2 vs v3,"Jupyter notebook, IPython terminal, nbconvert",IPython Slides/Slideviewer,"Actually options 2,3 & 4 above (they can use their own laptop, or one of the teaching lab machines, or Binder if working through materials outside of the course",Python 3,IPyKernel,In-class exercises,Ungraded coding exercises,N/A,N/A,,,"We use notebooks on the screen at the front of class, to run live-coding sessions/examples SWC-style.",
4/26/2016 0:48:32,Introduction to Computational Quantum Nanoelectronics,APS March meeting 2016,http://www.aps.org/meetings/march/events/tutorials.cfm#t10,http://kwant-project.org/mm16,"Anton Akhmerov
Christoph Groth
Xavier Waintal
Michael Wimmer",Once,50 - 100,"Mixed (conferences, workshops, Software Carpentry style events, etc.)",Intermediate (a year of experience),Physics,"The difficulty to collaborate efficiently on notebooks using version control.  We stored ours in git (along with other stuff) and fell back on manually locking the notebook files to avoid conflicts (like in RCS days!).

It wood be great to have a diff and merge tool, if only for the cells.","Jupyter notebook, Interactive widgets, JupyterHub",,JupyterHub,Python 3,,In-class exercises,Ungraded coding exercises,,,,,,
4/26/2016 0:50:58,,Software Carpentry,,,,Every semester / quarter,10 - 25,"Mixed (conferences, workshops, Software Carpentry style events, etc.)",Novice (~1 semester of experience),"Computer science, Data science",Managing notebooks on git (diff),"Jupyter notebook, IPython terminal",,They have it installed on their own computers,"Python 2, Python 3",IPyKernel,"In-class exercises, Live coding",,N/A,N/A,,,,
4/26/2016 2:13:30,Software Carpentry,Many (http://software-carpentry.org/workshops/),http://software-carpentry.org/,http://swcarpentry.github.io/python-novice-inflammation/,,Ad-hoc (e.g. workshops),10 - 25,"Graduate, Mixed (conferences, workshops, Software Carpentry style events, etc.)",Complete novice (no experience),Computer science,"Installation has become much better with Anaconda, but having to open up the terminal to start the Jupyter notebook is still foreign to many students.",Jupyter notebook,,They have it installed on their own computers,Python 3,IPyKernel,In-class exercises,Ungraded coding exercises,N/A,"Style, Correctness, Clarity",We do use Etherpad,"We don't grade things per se, just look them over, so we haven't had many difficulties.",,
4/26/2016 3:46:53,"Software Carpentry (Git, Python, Make & SQL)",Imperial College London,http://hpcarcher.github.io/2016-03-23-Imperial/,http://swcarpentry.github.io/python-novice-inflammation-2.7/,"Rob Beagrie
Emmanouil Farsarakis",Ad-hoc (e.g. workshops),10 - 25,"Mixed (conferences, workshops, Software Carpentry style events, etc.)",Novice (~1 semester of experience),"Biology, Chemistry, Physics",Setup and installation of tools,Jupyter notebook,,They have it installed on their own computers,"Bash, Python 2",IPyKernel,In-class exercises,Ungraded coding exercises,,,,,,
4/26/2016 4:04:52,Advanced Python,Universit of Zagreb,,,,Once,10 - 25,"Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors)",Intermediate (a year of experience),Computer science,,"Jupyter notebook, nbconvert",,They have it installed on their own computers,Python 3,IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets, Collaborative / group assignments",Manually graded coding exercises,"N/A, By hand","Style, Correctness",,,,
4/26/2016 4:08:37,Mathematical Methods in Materials Engineering,Rensselaer Polytechnic Institute,TBA,N/A,Dan Lewis,Every year,10 - 25,"Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors)",Novice (~1 semester of experience),Materials Engineering,I'm converting from Mathematica - so I can't answer this one yet.,"Jupyter notebook, Interactive widgets",N/A,They have it installed on their own computers,Python 2,IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets, Collaborative / group assignments","Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose), Ungraded written answers (prose)",By hand,"Correctness, Clarity",No.  ,I'm not skilled enough to set up auto grading - the process seems confusing so I hesitate to put in more time to learn it.,,
4/26/2016 6:28:32,,University of Bologna,,,,Every year,10 - 25,"Advanced undergraduate (juniors and seniors), Graduate",Novice (~1 semester of experience),"Biology, Physics",,IPython terminal,,N/A,Python 3,,,,,,,,,
4/26/2016 10:59:29,CS 101 Introduction to Computing for Science and Engineering,University of Illinois at Urbana–Champaign,https://relate.cs.illinois.edu/course/sp16cs101/,https://relate.cs.illinois.edu/course/sp16cs101/,"Ryan Cunningham
Neal Davis",Every semester / quarter,More than 500,Introductory undergraduate (freshman and sophmores),Complete novice (no experience),Computer science,Managing 700+ students effectively,"Jupyter notebook, JupyterHub, nbgrader",jupyter-themer,It is installed on computers in a university/school computer cluster or lab,"Bash, Matlab / Octave, Python 3",IPyKernel,Lab exercises,"Autograded coding exercises, Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose), Ungraded written answers (prose)","nbgrader, By hand",Correctness,,inability to conceal certain tests (this makes manual grading of simple answers impossible),"We have an elaborate per-section setup (eighteen sections) that's spurred some ideas about how to use nbgrader in practice.
We have a lot of bash scripts to manage the system (nonideal but perhaps unavoidable).","- Can you switch from SQLite for the database?  It has caused inadvertent conflicts when multiple users log in to the same head node (not the same environment but share /tmp).
- Add the ability to jump from manually-graded question to manually-graded question directly (like ""Next"" but for questions not pages) (in formgrader)."
4/26/2016 12:03:12,Computer simulations of sensory systems,ETH Zurich (Switzerland),,https://github.com/thomas-haslwanter/CSS_ipynb,,Every year,25 - 50,Graduate,Advanced (2-3 years of experience),Computer science,"Getting Python running on the different personal computer systems (Win, Linux, Mac, Python 2.x, 3.x, ....)","Jupyter notebook, IPython terminal",no,They have it installed on their own computers,"Matlab / Octave, Python 2, Python 3",IPyKernel,In-class exercises,Ungraded coding exercises,,,,,,
4/26/2016 14:50:32,,University of Coimbra,,,,Every semester / quarter,10 - 25,Advanced undergraduate (juniors and seniors),Intermediate (a year of experience),Physics,Students using many different languages,"Jupyter notebook, IPython terminal",,They have it installed on their own computers,"Fortran, Mathematica, Matlab / Octave, Python 2, Python 3, C++",IPyKernel,"In-class exercises, Homeworks / problem sets",Ungraded coding exercises,N/A,"Correctness, Clarity",,,,
4/26/2016 16:49:37,Foundations of Data Science,UC Berkeley,http://data8.org/sp16,http://data8.org/sp16,,Every semester / quarter,250 - 500,"Introductory undergraduate (freshman and sophmores), Intermediate undergraduate (sophmores and juniors)",Complete novice (no experience),Data science,"Student servers on JupyterHub failed to load regularly throughout the semester, but I believe that the system is now much more stable than it was in January.","Jupyter notebook, JupyterHub, nbconvert",,JupyterHub,Python 3,,"Lab exercises, Homeworks / problem sets, Collaborative / group assignments","Autograded coding exercises, Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose), Ungraded written answers (prose)",Okpy.org (automatic) + PDF submission to Gradescope (manual),Correctness,,"It's not possible to specify the page-by-page layout of a PDF export of a notebook, so student answers don't show up in consistent positions in the output.",,"Hosting JupyterHub is too much overhead for a course. Deployments should happen at the university level, or better yet, one central deployment for many universities."
4/26/2016 18:07:12,"Data, the Humanist's New Best Friend",University of Western Ontario,http://nbviewer.jupyter.org/github/versae/dh2304/blob/master/index.ipynb,https://github.com/versae/dh2304,Javier de la Rosa,Once,Less than 10,Advanced undergraduate (juniors and seniors),Novice (~1 semester of experience),"Arts, Data science, History, Journalism, Literature, Sociology","Not having fine-grain collaboration capabilities, or even an option to open in read-mode an already open notebook.","Jupyter notebook, IPython terminal, nbconvert", http://mybinder.org,And Binder,Python 3,IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets, Assignments",Manually graded coding exercises,By hand,"Correctness, Clarity",,,,Templates for assignments that allowed grading and hiding of specific code parts
4/26/2016 18:17:58,Practical Machine Learning,Universidad Santo Tomas - Bogota,https://github.com/albahnsen/PracticalMachineLearningClass,https://github.com/albahnsen/PracticalMachineLearningClass,Alejandro Correa Bahnsen,Every semester / quarter,10 - 25,"Advanced undergraduate (juniors and seniors), Graduate",Intermediate (a year of experience),Machine learning,Collecting homeworks. I do it via git push on each student repo.,"Jupyter notebook, Interactive widgets",No,They have it installed on their own computers,Python 3,IPyKernel,"In-class exercises, Homeworks / problem sets, Collaborative / group assignments","Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Correctness, Clarity",Kaggle competitions,If they are submitted by email I must download and check each one.,,
4/26/2016 18:44:54,,,,,,Ad-hoc (e.g. workshops),10 - 25,"Mixed (conferences, workshops, Software Carpentry style events, etc.)",Novice (~1 semester of experience),"Biology, Computer science, Data science",,Jupyter notebook,,They have it installed on their own computers,"Python 2, Python 3",,In-class exercises,Ungraded coding exercises,N/A,N/A,,,,
4/26/2016 20:52:42,ESPM-88B: Data Science in ecology & the environment,UC Berkeley,http://berkeley.carlboettiger.info/espm-88b,http://berkeley.carlboettiger.info/espm-88b/syllabus,Carl Boettiger,Every year,10 - 25,Introductory undergraduate (freshman and sophmores),Complete novice (no experience),"Biology, Computer science, Data science, Earth science, Statistics","Grading.  My questions are too open-ended to use any automated grading.  I could really benefit from a system like Gradescope, (facilitate submission process, grading question by question, and handle rosters and scores) but that system is poorly designed for a Jupyter notebook since it assumes the relative locations of each question on the PDF can be fixed according to a template, while the position of a question on a PDF of a Jupyter notebook changes depending on how much space the student used in question above.  ","Jupyter notebook, nbconvert",,It is installed on computers in a university/school computer cluster or lab,Python 3,IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets, Collaborative / group assignments, Exams, lecture slides","Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose), Ungraded written answers (prose)",By hand,"Style, Correctness, Clarity",,See previous comments about pain points,"Yes, I use Jupyter to generate the slides I use in lecture.  These slides can be automatically imported as a notebook in the student's cloud-hosted Jupyter accounts (ds8), which allows the students to pick up working on the exercises at the end of the notebook using the code I had executed in class, without duplication.  

Still, this system could be refined.  Students don't have an easy way to submit their work without first deleting the material that has come before.  Student submissions could benefit from a templating system that would automatically include name, date, and other metadata to generate a nicely formatted pdf output, as well as a more tidy ipynb file to include in their submission.","Documentation of nbconvert / slide tools is pretty minimal (for instance, nothing I could find tells you about actually turning on the slide toolbar in the notebook).  nbconvert feels really immature compared to similar behavior we have in RStudio, which has a nice interface support for selecting and customizing templates and controlling file metadata with yaml header blocks, etc.  "
4/26/2016 23:45:46,Introduction to Python,,,,,Every year,25 - 50,Advanced undergraduate (juniors and seniors),Novice (~1 semester of experience),Computer science,,Jupyter notebook,,It is installed on computers in a university/school computer cluster or lab,"Python 2, Python 3",,"In-class exercises, Lab exercises, Exams",Ungraded coding exercises,By hand,Correctness,,,,
4/27/2016 2:07:48,Web with Python,PyBursa,https://university.raccoongang.com/courses/course-v1:PyBursa04+DJ101+2016_T2/about,,Aleksey Radchenko,Semi-continuously (e.g. a MOOC),25 - 50,MOOC,Novice (~1 semester of experience),Computer science,Setup environment on students PC,"Jupyter notebook, IPython terminal",,They have it installed on their own computers,"Bash, Javascript, Python 2",IPyKernel,In-class exercises,,,,,I use Open edX for my course and I don't know how to integrate notebook to Open edX graded xBlock. I need xBlock with Jupyter notebook. ,,I need notebook view without menubar to integrate it to Open edX xblock. Also I need API to send grading result to Open edX.
4/27/2016 4:02:31,High Throughput Sequencing technologies and bioinformatics analysis,University of Oslo,http://www.uio.no/studier/emner/matnat/ifi/INF-BIO9121/,http://inf-biox121.readthedocs.org/en/latest/http://www.uio.no/studier/emner/matnat/ifi/INF-BIO9121/,,Every year,25 - 50,Course for Master students and PhD students,Complete novice (no experience),Biology,"Mix of biologists and informaticians, each with aspects missing in background knowledge that the other group does have",Jupyter notebook,https://raw.githubusercontent.com/cjdrake/ipython-magic/master/gvmagic.py,It is installed on computers in a university/school computer cluster or lab,"Bash, Python 2, R",IPyKernel,,,,,,,,
4/27/2016 6:02:39,Data Modeling and Querying,Luther College,,https://github.com/bnmnetp/CS140,Brad Miller,Every semester / quarter,25 - 50,Introductory undergraduate (freshman and sophmores),Complete novice (no experience),"Computer science, Data science",Getting Jupyterhub configured correctly alongside nbgrader.,"Jupyter notebook, JupyterHub, nbgrader",,JupyterHub,SQL,IPyKernel,"In-class exercises, Homeworks / problem sets","Autograded coding exercises, Manually graded coding exercises",nbgrader,"Correctness, Clarity",,Making corrections to my own solutions.   ,,
4/27/2016 6:21:18,Data Journalism - Explorative Data Analysis in Python,Bielefeld University,,,David Schlangen,Every year,25 - 50,Advanced undergraduate (juniors and seniors),Intermediate (a year of experience),Data science,Ensuring that all students have a running Jupyter installation on their own machines.,Jupyter notebook,,They have it installed on their own computers,Python 2,IPyKernel,"In-class exercises, Homeworks / problem sets","Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose)",By hand,"Style, Correctness, Clarity",,,,"Easy way for sys admins to install on uni servers, so that students can work online from home"
4/27/2016 8:47:21,Exploring Geospatial Data,UC Berkeley Undergraduate Data Science Program and the dept of Environmental Science Planning & Management,http://databears.berkeley.edu/content/espm-88a-exploring-geospatial-data,https://github.com/data-8/geospatial-connector,Patricia Frontiera,It is a new course that was taught for two semesters in the 2015-16 academic year. The future is TBD.,Less than 10,Introductory undergraduate (freshman and sophmores),Complete novice (no experience),Data science,Creating maps in python.,"Jupyter notebook, JupyterHub",Not that I know of. The system administrators might be though.,JupyterHub,Python 3,"don't know, probably Ipykernel","In-class exercises, Lab exercises, Homeworks / problem sets","Manually graded coding exercises, Manually graded written answers (prose)",By hand,Correctness,,Not being able to add inline comments like in google docs.,,I would like to be able to open a notebook in read only mode. I would also like to be able to see the date of last update/creation in the directory listing.
4/27/2016 10:40:14,,,,,,Every semester / quarter,25 - 50,"Advanced undergraduate (juniors and seniors), Graduate",Complete novice (no experience),Physics,Hiding tests for problem sets.  Hard to make tests with out exposing the answers.,"Jupyter notebook, JupyterHub, nbgrader","TOC
Chrome Clipboard
Initialization cells
Slidemode",N/A,"Python 2, Python 3",IPyKernel,Homeworks / problem sets,"Autograded coding exercises, Manually graded coding exercises, Manually graded written answers (prose)",nbgrader,Correctness,,Tests are exposed.  Renaming cells.  ,,
4/27/2016 10:40:41,L&S 88-2: Literature and Data,Foundations of Data Science Connector,,https://github.com/data-8/literature-connector,Teddy Roland,Once,Less than 10,"Introductory undergraduate (freshman and sophmores), Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors)",Complete novice (no experience),"Data science, Literature","Memory limits when using large datasets, processing time","Jupyter notebook, JupyterHub",,JupyterHub,Python 3,IPyKernel,In-class exercises,"Ungraded coding exercises, Ungraded written answers (prose)",N/A,N/A,"Students create new IPython notebooks for own project, push to GitHub",long strings remain printed when notebooks pushed to GitHub,Lecture from markdown segments of text,
4/27/2016 12:43:42,Comp 116,University of North Carolina at Chapel Hill,https://wwwx.cs.unc.edu/Courses/comp116-s16/,,Gary Bishop,Every semester / quarter,250 - 500,"Introductory undergraduate (freshman and sophmores), Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors)",Complete novice (no experience),Computer science,Mac users have the most problems installing and keeping it running. Students with Macs who use Chinese character sets have encoding problems. Install process is pretty scary for newbs. When returning to a notebook students don't understand that some displayed cells do not reflect the state of the kernel. The Anaconda installer should ask where you want to work and start up Jupyter notebook there; students have their stuff spread all over the home folders with tons of other junk.,"Jupyter notebook, nbconvert",I wrote my own tools to enable downloading and uploading notebooks. I embed a bit of Javascript into the notebook to accomplish this.,They have it installed on their own computers,Python 3,IPyKernel,"In-class exercises, Homeworks / problem sets, Exams",Autograded coding exercises,I wrote my own tooling. ,Correctness,I wrote code to compare all submissions to catch gross copying. All my assignments and exams are data driven and checked as the students work giving them immediate feedback. I then grade using different data. I assign partial credit on exams (only) using tools I wrote to cluster wrong answers together.,It works really well. My biggest problems have been with network infrastructure causing problems on exams.,We give them workbooks and class notes as Jupyter notebooks.,"I fantasize that moving the kernel to the cloud will be great but when we tried it the classroom network was not up to 300 students accessing remove notebooks simultaneously. 

We ***REALLY*** need accessibility improvements for students with visual and motor impairments. "
4/27/2016 13:24:00,Discrete Structures for Computer Science ,Grand Valley State University,,https://github.com/RobertTalbert/discretecs/,Robert Talbert,Every semester / quarter,25 - 50,Intermediate undergraduate (sophmores and juniors),Complete novice (no experience),"Computer science, Mathematics","Making sure all the course tools work all the time, and convincing students that life is OK even when they don't work all the time. (Tendency to label a course tool as ""unreliable"" if it ever fails once, even if the failure is related to something other than the tool.) ","Jupyter notebook, nbconvert",,SageMath Cloud,"Python 3, Sage","SageMath, Anaconda","Homeworks / problem sets, Pre-class exercises","Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose)",By hand,Correctness,I use a standards-based grading system where students do not earn points but rather check off learning outcomes by providing evidence of proficiency. ,Finding the right workflow for submitting and grading them when I am not assigning them points (but rather checking to see if the work meets professional quality standards). ,,
4/27/2016 20:03:47,,,,,,Every year,25 - 50,"Intermediate undergraduate (sophmores and juniors), Advanced undergraduate (juniors and seniors)",Complete novice (no experience),Mathematics,,Jupyter notebook,,They have it installed on their own computers,"Python 2, Python 3",IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets","Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Style, Correctness, Clarity",,,,
4/27/2016 23:01:06,Marine Hydrodynamics,University of Southampton,http://www.southampton.ac.uk/engineering/undergraduate/modules/sess3023_marine_hydrodynamics.page,https://github.com/weymouth/MarineHydro,"Gabriel Weymouth
Phillip Wilson",Every year,25 - 50,Advanced undergraduate (juniors and seniors),Novice (~1 semester of experience),Mechanical engineering,Keeping students engaged with abstract and analytic material.,IPython terminal,,iJulia,Python 3,,"In-class exercises, Homeworks / problem sets","Manually graded coding exercises, Manually graded written answers (prose)",By hand,Correctness,,Commenting on prose solutions,"The students create plots, which need to demonstrate good comparison with analytic solutions. ",iJulia is pretty great.
4/28/2016 0:58:27,Image acquisition and processing ,Université Libre de Bruxelles,,http://nbviewer.jupyter.org/github/odebeir/info-h-500-501/blob/ver_2015-2016/Index.ipynb,Olivier Debeir,Every year,25 - 50,Graduate,Intermediate (a year of experience),Computer science,(jupyter related) the size of the git repository is huge due to binary results/git diff is not useful,Jupyter notebook,,nbviewer + github,"Python 2, Python 3",,Lab exercises,"Ungraded coding exercises, Ungraded written answers (prose)",N/A,N/A,,,,a way to compare two versions of a jupyter notebook/ it would enable pull easier pull request when notebooks are shared (e.g. on github)
4/28/2016 1:33:23,Advanced Computational Methods,University of Southampton,http://www.southampton.ac.uk/~feeg6002,http://www.southampton.ac.uk/~feeg6002/lecturenotes.html,"Hans Fangohr, Ian Hawke, Sam Sinayoko",Every year,100 - 250,Advanced undergraduate (juniors and seniors),Intermediate (a year of experience),"Computer science, Data science, Electrical engineering, Mathematics, Mechanical engineering, Physics",,Jupyter notebook,,They have it installed on their own computers,"Bash, Python 2, Python 3",IPyKernel,"In-class exercises, Lab exercises, Homeworks / problem sets",,,,,,,
4/28/2016 1:47:45,Python Programming Primer,University of Southampton,http://www.southampton.ac.uk/~fangohr/training/python/index.html,http://www.southampton.ac.uk/~fangohr/training/python/support.html,Hans Fangohr,Every year,10 - 25,Graduate,Novice (~1 semester of experience),"Biology, Chemistry, Computer science, Data science, Electrical engineering, Mathematics, Mechanical engineering, Physics, Planetary/space science, Statistics",,"Jupyter notebook, IPython terminal, nbconvert",,They have it installed on their own computers,"Python 2, Python 3",IPyKernel,,,,,"The main purpose of the course is to teach basic programming skills, and we use automatic assessment of pure python code outside Jupyter. (Details at http://arxiv.org/abs/1509.03556). See comment on role of Jupyter in the course in the last question.",,"This is a course to introduce students to Python. We use the Python shell and then Spyder for the majority of the work, and introduce Jupyter towards the end. The purpose of this ordering is to go from simple to more complicated (and powerful). Jupyter notebooks are harder to run and feel confident in than a python shell (for beginners at least this seems to be the case).

Once the Notebook has been introduced we use (and abuse) it to quickly whizz through material that we like the students to have seen and to have access to so they can go through it when required, but don't necessarily need to understand deeply at that moment in time. The notebooks are made available as (executable) reference material, and are a practical way of providing an overview of lots of material that could otherwise  not be covered, and providing the material that the students can work through in a self-paced manner when they need to.

Given this introduction - in which the notebook only starts to feature towards the end of the course -  most students will use the notebook for the duration of their doctoral studies (http://ngcm.soton.ac.uk) that follow this introduction course. ",
4/28/2016 13:42:22,CSIS 200: Software Tools for Physicists,Siena College,https://github.com/mattbellis/Siena-College-CSIS-200,https://github.com/mattbellis/Siena-College-CSIS-200,Matt Bellis,Every semester / quarter,10 - 25,Introductory undergraduate (freshman and sophmores),Complete novice (no experience),Physics,"Grading. 

Teaching the total novices the basics, like where files are when they get downloaded to one's laptop, or how to rename a file. 

Getting them used to the idea of *just trying something*, when trying to figure out  a bug. ","Jupyter notebook, nbconvert",,They have it installed on their own computers,"Processing, Python 2, LaTeX and some shell.",IPyKernel,"In-class exercises, Homeworks / problem sets, Collaborative / group assignments","Autograded coding exercises, Manually graded coding exercises, Manually graded written answers (prose), Ungraded written answers (prose)","By hand, Often, I have the students write a function and then use nbconvert to convert the files, en masse, to .py files. I can then import them into a grading script which I have written. ",Correctness,,"Being able to quickly load up many notebooks. Or convert them all properly. Sometimes the students define a variable later in the code, but when they go ""back"" earlier in the code it still registers, even after they delete it. So they don't catch this, even though I tell them to Clear All and re-run it. Grrrr....",,
4/29/2016 1:50:01,Observational Astronomy,Sheffield University,https://www.sheffield.ac.uk/physics/teaching/phy241/index,http://slittlefair.staff.shef.ac.uk/teaching/phy241/,Stuart Littlefair,Every year,25 - 50,Intermediate undergraduate (sophmores and juniors),Complete novice (no experience),"Physics, Planetary/space science",Teaching students how to install and run Python,"Jupyter notebook, Interactive widgets, JupyterHub, nbgrader",,JupyterHub,Python 3,IPyKernel,"In-class exercises, Homeworks / problem sets","Autograded coding exercises, Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose)",nbgrader,Correctness,,Re-grading late submissions or re-submissions,,Installation of Jupyterhub (particularly SSL and authentication) was difficult
4/29/2016 1:53:05,Basic Scientific Python,University of Leicester,,,Dr Jonathan Nichols,Every year,50 - 100,Advanced undergraduate (juniors and seniors),Intermediate (a year of experience),"Physics, Planetary/space science",Setting up the Notebooks on the university machines,"Jupyter notebook, IPython terminal",,It is installed on computers in a university/school computer cluster or lab,Python 2,IPyKernel,In-class exercises,"Manually graded coding exercises, Manually graded written answers (prose)",By hand,Correctness,,"Staff intensive.  I wasn't aware of nbgrader, though - this may save us time!",,
4/29/2016 3:39:19,Semiconductor Process Engineering,UC Berkeley,,,,Every year,25 - 50,Graduate,Novice (~1 semester of experience),"Chemistry, Physics, Chemical Engineering",convincing students (and faculty) that there is a world outside of Matlab,"Jupyter notebook, Interactive widgets",,Berkeley Common Environment,"Python 2, Python 3","IPyKernel, SageMath",Homeworks / problem sets,"Manually graded coding exercises, Ungraded coding exercises, Manually graded written answers (prose), Ungraded written answers (prose)",By hand,"Correctness, Clarity",,,,Embedded compute cells for online textbooks (like Sage Cell Server)
4/29/2016 12:52:40,Computational Physics,University of Southern Maine,http://people.usm.maine.edu/pauln/physics261/index.html,http://people.usm.maine.edu/pauln/physics261/index.html,Paul Nakroshis,Every year,10 - 25,Introductory undergraduate (freshman and sophmores),Complete novice (no experience),Physics,"If we had more department faculty, I'd have a mandatory two semester sequence; as it is, I have students of very variable programming experience, and the course is therefore geared to the first time physics/chemistry/biology student. The vast majority of student taking the class are physics majors, though the chemistry department has now made my class a requirement, so I expect this to change. 

Another difficulty is getting everyone on the same page in terms of computational platform; I started using a linux virtual machine that was ready to go, but invariably, some students have trouble with linux installation.

In the next round, I'm most likely going to use the Anaconda Distribution for ease of use. 
","Jupyter notebook, IPython terminal, nbconvert","Not yet, but am excited to see developments coming along.",They have it installed on their own computers,Python 3,IPyKernel,"In-class exercises, Homeworks / problem sets, Collaborative / group assignments","Manually graded coding exercises, Manually graded written answers (prose)",By hand,"Style, Correctness, Clarity",no,"other than grading itself, none. ",no,"would be nice to have a customization routine a little more easily accessible (fonts, etc.) Most people won't bother learning to use the matplotlib file needed to do the customization. "
